Id_studenta;Imie;Nazwisko;Uczelnia;;Miejsce_zam;Rok_studiow;Dochod_na_osobe;kod_pocztowy;miejsce_zam;;kod_pocztowy;miejsce_zam;id_uczelni;id_miasta;
1;Jadwiga;Baranowska;Uniwersytet Królewski;10;Krosno 80-338;I;2382;80-338;Krosno;;80-338;Krosno;5;89;Aleksandrow Kujawski
2;Zofia;Chorzowska;Akademia Sztuk Pięknych;#N/D;Puławy 66-219;II;1549;66-219;Puławy;;66-219;Puławy;1;149;Alwernia
3;Katarzyna;Bilska;Uniwersytet Królewski;10;Lubliniec 14-322;I;3037;14-322;Lubliniec;;14-322;Lubliniec;5;104;Baborów
4;Michal;Rada;Politechnika Królewska;10;Głuchołazy 30-136;II;1712;30-136;Głuchołazy;;30-136;Głuchołazy;3;45;Barlinek
5;Pawel;Milek;Politechnika Informatyczno-Elektroniczna;10;Koniaków 34-607;IV;1459;34-607;Koniaków;;34-607;Koniaków;2;82;Barwinek
6;Marcin;Biernat;Politechnika Królewska;10;Kogutek 99-754;I;931;99-754;Kogutek;;99-754;Kogutek;3;80;Bezledy
7;Gracja;Bijakowska;Politechnika Informatyczno-Elektroniczna;10;Racibórz 00-355;V;1482;00-355;Racibórz;;00-355;Racibórz;2;153;Będzin
8;Wojciech;Zaluski;Politechnika Królewska;10;Jejkowice 67-738;II;2141;67-738;Jejkowice;;67-738;Jejkowice;3;63;Biała Podlaska
9;Martyn;Kowalski;Uniwersytet Królewski;10;Mikołów 96-497;V;2713;96-497;Mikołów;;96-497;Mikołów;5;116;Białaszewo
10;Jolanta;Ochala;Uniwersytet Królewski;10;Rybnik 24-983;V;3332;24-983;Rybnik;;24-983;Rybnik;5;158;Białystok
11;Przemyslaw;Planeta;Akademia Sztuk Pięknych;#N/D;Będzin 69-501;V;444;69-501;Będzin;;69-501;Będzin;1;7;Bielsk Podlaski
12;Barbara;Michalska;Politechnika Królewska;10;Ruda Sląska 12-684;I;2368;12-684;Ruda Sląska;;12-684;Ruda Sląska;3;157;Bochnia
13;Kamil;Berakacz;Politechnika Informatyczno-Elektroniczna;10;Krapkowice 94-560;I;1765;94-560;Krapkowice;;94-560;Krapkowice;2;87;Bożewo
14;Teresa;Kuc;Uniwersytet Królewski;10;Jaworzno 98-650;II;2602;98-650;Jaworzno;;98-650;Jaworzno;5;61;Brańsk
15;Matylda;Zielinska;Uniwersytet Sportu i Turystyki;10;Wisła 99-436;I;2949;99-436;Wisła;;99-436;Wisła;9;202;Brzeg Dolny
16;Wieslawa;Babiarz;Uniwersytet Królewski;10;Oświęcim 27-702;II;1576;27-702;Oświęcim;;27-702;Oświęcim;5;135;Brzesko
17;Natalia;Barton;Wyższa Szkoła Techniczna;10;Sosnowiec 14-721;I;409;14-721;Sosnowiec;;14-721;Sosnowiec;10;170;Bydgoszcz
18;Alojzy;Wolak;Uniwersytet Sportu i Turystyki;10;Rybnik 24-983;IV;1767;24-983;Rybnik;;24-983;Rybnik;9;158;Bytom
19;Daniel;Lisiecki;Uniwersytet Królewski;10;Szczyrk 75-361;I;1867;75-361;Szczyrk;;75-361;Szczyrk;5;180;Chalupki
20;Adam;Bzinkowski;Politechnika Królewska;10;Rzeszów 89-735;I;782;89-735;Rzeszów;;89-735;Rzeszów;3;159;Chełm
21;Andrzej;Tokarski;Uniwersytet Królewski;10;Piotrków Trybunalski 04-419;I;2580;04-419;Piotrków Trybunalski;;04-419;Piotrków Trybunalski;5;140;Chorzów
22;Gabriela;Kolska;Uniwersytet Królewski;10;Mysłowice 13-220;I;1111;13-220;Mysłowice;;13-220;Mysłowice;5;121;Chyżne
23;Bogumila;Kolodziej;Uniwersytet Królewski;10;Nowy Targ 84-043;II;630;84-043;Nowy Targ;;84-043;Nowy Targ;5;125;Ciechanów
24;Augustyna;Swierkowska;Uniwersytet Sportu i Turystyki;10;Rajcza 18-286;IV;1489;18-286;Rajcza;;18-286;Rajcza;9;155;Ciechocinek
25;Tomasz;Tutaj;Politechnika Informatyczno-Elektroniczna;10;Chyżne 76-235;II;3079;76-235;Chyżne;;76-235;Chyżne;2;22;Cieszyn
26;Sylwester;Jarecki;Uniwersytet Muzyczny;10;Sanok 71-890;IV;3222;71-890;Sanok;;71-890;Sanok;6;160;Częstochowa
27;Antoni;Banakiewicz;Politechnika Królewska;10;Wisła 99-436;I;1003;99-436;Wisła;;99-436;Wisła;3;202;Daszyna
28;Piotr;Skiba;Politechnika Królewska;10;Limanowa 65-385;III;2917;65-385;Limanowa;;65-385;Limanowa;3;100;Dąbrowa Górnicza
29;Lidia;Kazdron;Politechnika Królewska;10;Wojkowice 84-273;III;2646;84-273;Wojkowice;;84-273;Wojkowice;3;207;Debrzno
30;Karol;Krol;Uniwersytet Pedagogiczny;10;Brzesko 96-703;I;365;96-703;Brzesko;;96-703;Brzesko;7;16;Dębica
31;Beata;Kotlarska;Politechnika Królewska;10;Sośnicowice 15-658;I;1638;15-658;Sośnicowice;;15-658;Sośnicowice;3;171;Dęblin
32;Jan;Tyranowski;Uniwersytet Królewski;10;Katowice 72-241;III;3333;72-241;Katowice;;72-241;Katowice;5;71;Dębowiec
33;Celina;Koral;Politechnika Królewska;10;Gierałtowice 04-834;V;1242;04-834;Gierałtowice;;04-834;Gierałtowice;3;42;Długopole-Zdrój
34;Jacek;Witebski;Uniwersytet Królewski;10;Częstochowa 86-116;I;1168;86-116;Częstochowa;;86-116;Częstochowa;5;26;Dobieszowice
35;Karol;Kedzierski;Politechnika Królewska;10;Łomża 22-623;III;1374;22-623;Łomża;;22-623;Łomża;3;108;Dobre Miasto
36;Bartosz;Samek;Politechnika Informatyczno-Elektroniczna;10;Koniaków 34-607;I;543;34-607;Koniaków;;34-607;Koniaków;2;82;Dzierżoniów
37;Natalia;Goral;Politechnika Królewska;10;Mysłowice 13-220;I;1947;13-220;Mysłowice;;13-220;Mysłowice;3;121;Elbląg
38;Janusz;Figielski;Uniwersytet Królewski;10;Tomaszów Lubelski 95-084;I;2223;95-084;Tomaszów Lubelski;;95-084;Tomaszów Lubelski;5;189;Ełk
39;Henryk;Klosinski;Uniwersytet Muzyczny;10;Rabka 30-698;I;1611;30-698;Rabka;;30-698;Rabka;6;152;Gdańsk
40;Krzysztof;Dyszy;Uniwersytet Ekonomiczny;10;Rybnik 24-983;I;2898;24-983;Rybnik;;24-983;Rybnik;4;158;Gdynia
41;Barbara;Szelest;Uniwersytet Królewski;10;Mysłowice 13-220;I;1666;13-220;Mysłowice;;13-220;Mysłowice;5;121;Giebło
42;Monika;Chojecka;Uniwersytet Królewski;10;Kołbaskowo 95-186;I;2124;95-186;Kołbaskowo;;95-186;Kołbaskowo;5;81;Gierałtowice
43;Elzbieta;Jandura;Uniwersytet Królewski;10;Nysa 72-297;V;1552;72-297;Nysa;;72-297;Nysa;5;126;Gliwice
44;Roman;Aron;Uniwersytet Królewski;10;Długopole-Zdrój 07-772;I;997;07-772;Długopole-Zdrój;;07-772;Długopole-Zdrój;5;33;Głubczyce
45;Joanna;Lodziarz;Uniwersytet Królewski;10;Lędziny 27-535;I;602;27-535;Lędziny;;27-535;Lędziny;5;99;Głuchołazy
46;Martyna;Bobrowska;Politechnika Królewska;10;Iława 70-459;III;1263;70-459;Iława;;70-459;Iława;3;54;Gorki Male
47;Dominik;Zagajewski;Politechnika Informatyczno-Elektroniczna;10;Sosnowiec 14-721;V;448;14-721;Sosnowiec;;14-721;Sosnowiec;2;170;Gorzów Wielkopolski
48;Marianna;Lyszkowska;Politechnika Królewska;10;Terespol 22-593;I;2334;22-593;Terespol;;22-593;Terespol;3;188;Gostyń
49;Anna;Tabor;Politechnika Informatyczno-Elektroniczna;10;Częstochowa 86-116;I;1777;86-116;Częstochowa;;86-116;Częstochowa;2;26;Grudziądz
50;Marek;Frymarkiewicz;Politechnika Informatyczno-Elektroniczna;10;Węgorzewo 67-547;I;1712;67-547;Węgorzewo;;67-547;Węgorzewo;2;201;Gryfice
51;Gerard;Graczynski;Uniwersytet Pedagogiczny;10;Rogoźnik 74-768;I;1573;74-768;Rogoźnik;;74-768;Rogoźnik;7;156;Gubin
52;Stefan;Skoczkowski;Uniwersytet Królewski;10;Sosnowiec 14-721;II;2279;14-721;Sosnowiec;;14-721;Sosnowiec;5;170;Halinów
53;Gabriela;Kawka;Uniwersytet Sportu i Turystyki;10;Bezledy 75-057;II;2273;75-057;Bezledy;;75-057;Bezledy;9;6;Hrebenne
54;Klementyna;Bobkowicz;Uniwersytet Królewski;10;Zawiercie 58-922;III;3056;58-922;Zawiercie;;58-922;Zawiercie;5;215;Iława
55;Artur;Bartoszewicz;Uniwersytet Sportu i Turystyki;10;Sławków 42-081;I;2177;42-081;Sławków;;42-081;Sławków;9;167;Inowrocław
56;Michal;Grzesiak;Politechnika Informatyczno-Elektroniczna;10;Wrocław 62-182;V;2239;62-182;Wrocław;;62-182;Wrocław;2;209;Istebna
57;Ewelina;Korpet;Uniwersytet Królewski;10;Ustroń 51-637;V;2204;51-637;Ustroń;;51-637;Ustroń;5;194;Izbica Kujawska
58;Radomila;Bojka;Uniwersytet Sportu i Turystyki;10;Lędziny 27-535;III;1403;27-535;Lędziny;;27-535;Lędziny;9;99;Jakuszyce
59;Maciej;Drozdzik;Politechnika Informatyczno-Elektroniczna;10;Szczyrk 75-361;V;1142;75-361;Szczyrk;;75-361;Szczyrk;2;180;Jasło
60;Jerzy;Przybylski;Uniwersytet Sportu i Turystyki;10;Świętochłowice 38-932;I;979;38-932;Świętochłowice;;38-932;Świętochłowice;9;183;Jastrzębie-Zdrój
61;Hanna;Baron;Politechnika Królewska;10;Jasło 92-050;I;2509;92-050;Jasło;;92-050;Jasło;3;59;Jaworzno
62;Teresa;Bajerska;Uniwersytet Sportu i Turystyki;10;Tworóg 62-560;II;3010;62-560;Tworóg;;62-560;Tworóg;9;192;Jaworzynka
63;Danuta;Bednar;Politechnika Królewska;10;Żywiec 00-137;I;1933;00-137;Żywiec;;00-137;Żywiec;3;220;Jejkowice
64;Boguslawa;Keta;Politechnika Królewska;10;Będzin 69-501;II;3013;69-501;Będzin;;69-501;Będzin;3;7;Jelenia Góra
65;Beata;Grabowska;Politechnika Informatyczno-Elektroniczna;10;Ogrodzieniec 82-082;V;2838;82-082;Ogrodzieniec;;82-082;Ogrodzieniec;2;129;Jeżewo
66;Stefania;Zakrzewska;Politechnika Informatyczno-Elektroniczna;10;Sucha Beskidzka 98-902;II;420;98-902;Sucha Beskidzka;;98-902;Sucha Beskidzka;2;173;Jędrzejów
67;Anna;Barcikowska;Politechnika Informatyczno-Elektroniczna;10;Lubaczów 60-915;I;3099;60-915;Lubaczów;;60-915;Lubaczów;2;102;Józefów
68;Tadeusz;Holski;Politechnika Królewska;10;Sośnicowice 15-658;II;1945;15-658;Sośnicowice;;15-658;Sośnicowice;3;171;Julianka
69;Aleksandra;Drabicka;Uniwersytet Królewski;10;Cieszyn 68-101;I;2163;68-101;Cieszyn;;68-101;Cieszyn;5;25;Kalisz
70;Igor;Krynicki;Politechnika Informatyczno-Elektroniczna;10;Rajcza 18-286;I;1248;18-286;Rajcza;;18-286;Rajcza;2;155;Karniewo
71;Boleslaw;Ludziejewski;Politechnika Informatyczno-Elektroniczna;10;Nowy Targ 84-043;I;2979;84-043;Nowy Targ;;84-043;Nowy Targ;2;125;Katowice
